region,suface area(sq.km),population(billion),gdp(trillion.usd),gdp(trillion.cny)
YDM,211700,0.1344,3.5883,25.4195
China,9562910,1.4090,18.2704,129.4272
World,140419456.7,8.1421,106.9708,757.7793
